place_id,館名,地址,緯度,經度,網站,電話,評分,營業時間
ChIJcRV3WHOpQjQRFpgzTpxZWgo,國立臺灣博物館,100台灣臺北市中正區黎明里襄陽路2號,25.0427872,121.5151192,https://www.ntm.gov.tw/,+886 2 2382 2566,4.6,星期一: 休息|星期二: 09:30 – 17:00|星期三: 09:30 – 17:00|星期四: 09:30 – 17:00|星期五: 09:30 – 17:00|星期六: 09:30 – 17:00|星期日: 09:30 – 17:00
ChIJa1U1VXOpQjQR6InZ2RmUU0s,國立臺灣博物館 古生物館,100台灣臺北市中正區黎明里襄陽路25號,25.043643,121.51436950000002,https://www.ntm.gov.tw/,+886 2 2314 2699,4.6,星期一: 休息|星期二: 09:30 – 17:00|星期三: 09:30 – 17:00|星期四: 09:30 – 17:00|星期五: 09:30 – 17:00|星期六: 09:30 – 17:00|星期日: 09:30 – 17:00
ChIJbVjU3GGpQjQRf-842jJJufc,袖珍博物館,10489台灣臺北市中山區朱園里建國北路一段96號B1,25.050421,121.5360584,http://www.mmot.com.tw/,+886 2 2515 0583,4.4,星期一: 休息|星期二: 10:00 – 18:00|星期三: 10:00 – 18:00|星期四: 10:00 – 18:00|星期五: 10:00 – 18:00|星期六: 10:00 – 18:00|星期日: 10:00 – 18:00
ChIJZVl9mw2pQjQRNl7qT3nVk80,國立臺灣博物館鐵道部園區,103台灣臺北市大同區玉泉里延平北路一段2號,25.0487719,121.51120730000001,https://www.ntm.gov.tw/default.aspx,+886 2 2558 9790,4.6,星期一: 休息|星期二: 09:30 – 17:00|星期三: 09:30 – 17:00|星期四: 09:30 – 17:00|星期五: 09:30 – 17:00|星期六: 09:30 – 17:00|星期日: 09:30 – 17:00
ChIJzx49raOpQjQR7NYRaIqDppk,國立歷史博物館,100台灣臺北市中正區南門里南海路49號,25.0315698,121.5111994,https://www.nmh.gov.tw/,+886 2 2331 1220,4.3,星期一: 休息|星期二: 10:00 – 18:00|星期三: 10:00 – 18:00|星期四: 10:00 – 18:00|星期五: 10:00 – 18:00|星期六: 10:00 – 18:00|星期日: 10:00 – 18:00
ChIJ0QGCo5ipQjQRRVNCf4ND6VM,郵政博物館,100台灣臺北市中正區龍福里重慶南路二段45號,25.0316443,121.5148283,http://museum.post.gov.tw/,+886 2 2394 5185,4.5,星期一: 休息|星期二: 09:00 – 17:00|星期三: 09:00 – 17:00|星期四: 09:00 – 17:00|星期五: 09:00 – 17:00|星期六: 09:00 – 17:00|星期日: 09:00 – 17:00
ChIJ7TD9Fp-pQjQRFIFLWDgRrtU,國立臺灣博物館南門館,100台灣臺北市中正區龍福里南昌路一段1號,25.033419199999997,121.51579369999999,https://www.ntm.gov.tw/,+886 2 2397 3666,4.4,星期一: 休息|星期二: 09:30 – 17:00|星期三: 09:30 – 17:00|星期四: 09:30 – 17:00|星期五: 09:30 – 17:00|星期六: 09:30 – 17:00|星期日: 09:30 – 17:00
ChIJ2QQNMb6rQjQRA85vrPDJtEU,國家鐵道博物館,110台灣臺北市信義區新仁里市民大道五段50號,25.0474346,121.56471750000001,https://www.nrm.gov.tw/,+886 2 8787 8850,4.6,星期一: 休息|星期二: 09:30 – 17:00|星期三: 09:30 – 17:00|星期四: 09:30 – 17:00|星期五: 09:30 – 17:00|星期六: 09:30 – 17:00|星期日: 09:30 – 17:00
ChIJa1Rks4ypQjQRPgfDs1jd8RQ,自來水博物館,100台灣臺北市中正區水源里思源街1號,25.0125283,121.5300223,https://waterpark.water.gov.taipei/,+886 2 8369 5104,4.3,星期一: 休息|星期二: 09:00 – 17:00|星期三: 09:00 – 17:00|星期四: 09:00 – 17:00|星期五: 09:00 – 17:00|星期六: 09:00 – 17:00|星期日: 09:00 – 17:00
ChIJfUpAzTqsQjQRwQl6ORhwbV0,國立故宮博物院,111台灣臺北市士林區至善路二段221號,25.1023554,121.54849250000001,https://www.npm.gov.tw/,+886 2 2881 2021,4.6,星期一: 休息|星期二: 09:00 – 17:00|星期三: 09:00 – 17:00|星期四: 09:00 – 17:00|星期五: 09:00 – 17:00|星期六: 09:00 – 17:00|星期日: 09:00 – 17:00
ChIJl8eBsL6uQjQRwwn6OA2ejxI,臺北市立天文科學教育館,111台灣臺北市士林區福佳里基河路363號,25.095818599999998,121.51836329999998,https://tam.gov.taipei/,+886 2 2831 4551,4.6,星期一: 休息|星期二: 09:00 – 17:00|星期三: 09:00 – 17:00|星期四: 09:00 – 17:00|星期五: 09:00 – 17:00|星期六: 09:00 – 20:00|星期日: 09:00 – 17:00
ChIJ-ffZ_VGpQjQRcaEDDIjDQHo,臺北市立美術館,10461台灣臺北市中山區圓山里中山北路三段181號,25.072136,121.5244037,https://www.tfam.museum/index.aspx,+886 2 2595 7656,4.6,星期一: 休息|星期二: 09:30 – 17:30|星期三: 09:30 – 17:30|星期四: 09:30 – 17:30|星期五: 09:30 – 17:30|星期六: 09:30 – 20:30|星期日: 09:30 – 17:30
ChIJc-TxSWypQjQR-8Eh7elK97Q,臺北當代藝術館,103台灣臺北市大同區建泰里長安西路39號,25.0508047,121.51897659999999,https://www.mocataipei.org.tw/tw,+886 2 2552 3721,4.4,星期一: 休息|星期二: 10:00 – 18:00|星期三: 10:00 – 18:00|星期四: 10:00 – 18:00|星期五: 10:00 – 18:00|星期六: 10:00 – 18:00|星期日: 10:00 – 18:00
ChIJ6fE69FCuQjQRPAp8aSmP8a0,北投溫泉博物館,112台灣臺北市北投區林泉里中山路2號,25.136569400000003,121.50715,https://hotspringmuseum.taipei/,+886 2 2893 9981,4.5,星期一: 休息|星期二: 10:00 – 18:00|星期三: 10:00 – 18:00|星期四: 10:00 – 18:00|星期五: 10:00 – 18:00|星期六: 10:00 – 18:00|星期日: 10:00 – 18:00
ChIJ80TCTNupQjQRZWNe9JVpwY4,世界宗教博物館,234台灣新北市永和區保安里中山路一段236號7樓,25.0080667,121.5078368,http://www.mwr.org.tw/,+886 2 8231 6118,4.6,星期一: 休息|星期二: 10:00 – 17:00|星期三: 10:00 – 17:00|星期四: 10:00 – 17:00|星期五: 10:00 – 17:00|星期六: 10:00 – 17:00|星期日: 10:00 – 17:00
ChIJiV2syWOpQjQRrChqa_sz7-o,樹火紀念紙博物館,10491台灣臺北市中山區朱園里長安東路二段68號,25.048197,121.533603,http://www.suhopaper.org.tw/,+886 2 2507 5535,4.4,星期一: 休息|星期二: 09:30 – 16:30|星期三: 09:30 – 16:30|星期四: 09:30 – 16:30|星期五: 09:30 – 16:30|星期六: 09:30 – 16:30|星期日: 休息
ChIJ35pHwXWpQjQR3Q86rghjY2k,長榮海事博物館,100台灣台北市中正区东门里中山南路11號5樓,25.038585299999998,121.5188548,https://www.evergreenmuseum.org.tw/,+886 2 2351 6699#6113,4.6,星期一: 休息|星期二: 09:00 – 17:00|星期三: 09:00 – 17:00|星期四: 09:00 – 17:00|星期五: 09:00 – 17:00|星期六: 09:00 – 17:00|星期日: 09:00 – 17:00
ChIJY-50sJipQjQRnPeSBHkp7SM,二二八國家紀念館(原臺灣教育會館),100052台灣臺北市中正區龍光里南海路54號,25.0315484,121.5139187,https://www.228.org.tw/,+886 2 2332 6228,4.4,星期一: 休息|星期二: 10:00 – 17:00|星期三: 10:00 – 17:00|星期四: 10:00 – 17:00|星期五: 10:00 – 17:00|星期六: 10:00 – 17:00|星期日: 10:00 – 17:00
